TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
MATD3;4,31;1,74;-4,64;0,97;0,31;30,89;-13,16;-14,24;-5,02;-8,80;-3,72;0,72;0,66;1,19;-0,54;2,49;-20,93;-6,59;-15,53;0,31;0,68;0,46;28,41;;2.089.980,45;4,43;-0,93;0,01;1.523.907.568,65
MBLY3;2,06;;-2,75;0,53;0,33;44,49;-14,09;-13,87;-2,70;-2,64;0,06;-0,01;0,38;1,15;-0,64;2,45;-19,37;-12,00;-18,93;0,62;0,38;0,86;11,93;;1.359.462,00;3,87;-0,75;2,37;219.369.202,24
MDIA3;24,31;2,71;10,17;1,05;0,65;35,19;9,27;8,16;8,95;9,12;0,04;0,01;0,83;2,27;-1,24;2,52;10,34;6,39;8,07;0,62;0,38;0,78;12,46;2,32;26.872.271,30;23,15;2,39;0,23;8.369.910.000,00
MDNE3;14,53;4,47;5,14;0,79;0,31;34,44;16,33;16,17;5,09;5,37;0,27;0,04;0,83;1,06;-0,58;2,71;15,46;6,03;10,00;0,39;0,61;0,37;26,18;;9.296.009,50;18,30;2,83;0,06;1.237.129.593,75
MEAL3;1,31;;-3,58;0,35;0,14;33,48;1,45;-4,81;11,90;22,79;10,71;0,32;0,17;-55,49;-0,17;0,99;-9,91;-3,91;0,61;0,39;0,61;0,81;7,07;;489.030,60;3,69;-0,37;0,02;380.871.474,90
MELK3;3,60;8,07;8,93;0,62;0,29;22,69;8,55;8,19;8,55;6,66;-1,94;-0,14;0,73;0,56;-1,66;2,76;6,90;3,30;3,50;0,48;0,47;0,40;14,88;10,45;1.530.138,70;5,85;0,40;0,60;746.695.014,42
MERC3;14,80;;13,58;1,03;0,51;72,02;41,75;28,72;9,35;8,08;;;3,90;204,88;-0,51;;7,57;3,77;;0,50;0,50;0,13;-24,22;-4,94;0,00;14,39;1,09;0,01;230.449.694,65
MERC4;10,19;;9,35;0,71;0,35;72,02;41,75;28,72;6,43;8,08;;;2,69;141,06;-0,35;;7,57;3,77;;0,50;0,50;0,13;-24,22;-4,94;91,00;14,39;1,09;0,00;230.449.694,65
MGEL3;74,10;;-514,45;18,54;0,56;12,43;8,19;-0,09;5,64;9,85;7,48;24,57;0,46;2,59;-1,13;1,78;-3,60;-0,11;11,41;0,03;0,97;1,22;14,25;;0,00;4,00;-0,14;5,12;180.012.002,48
MGEL4;7,22;;-50,13;1,81;0,06;12,43;8,19;-0,09;0,55;9,85;7,48;24,57;0,05;0,25;-0,11;1,78;-3,60;-0,11;11,41;0,03;0,97;1,22;14,25;;5.059,85;4,00;-0,14;0,50;180.012.002,48
MGLU3;9,23;;18,63;0,62;0,19;30,62;3,41;0,97;5,28;7,69;2,35;0,27;0,18;1,99;-0,38;1,24;3,31;1,03;5,68;0,31;0,69;1,06;18,72;-9,33;266.046.949,45;14,97;0,50;-0,14;6.887.435.711,36
MILS3;10,15;4,58;8,37;1,66;0,68;62,87;33,08;19,22;4,86;6,82;1,96;0,67;1,61;3,55;-1,05;2,15;19,83;8,09;12,47;0,41;0,59;0,42;35,27;;10.405.629,85;6,12;1,21;0,45;2.429.921.734,00
MLAS3;1,42;;-2,60;0,37;0,23;14,67;-10,50;-13,61;-3,37;-3,09;0,33;-0,04;0,35;0,48;-0,83;2,81;-14,39;-8,65;-9,89;0,60;0,40;0,64;12,82;;3.000.962,00;3,77;-0,54;0,07;1.173.371.091,75
MMXM3;14,00;;-2,17;-0,11;0,71;;;;-181,31;-719,57;-538,27;;;-0,10;-0,75;0,01;-4,97;-32,75;0,28;-6,58;7,60;0,00;-6,95;;;-129,88;-6,46;0,03;90.834.562,00
MNDL3;16,50;;94,40;1,05;0,12;39,06;13,49;0,19;1,30;4,83;3,53;2,83;0,18;-1,12;-0,19;0,79;1,11;0,12;19,71;0,11;0,89;0,67;12,21;-10,76;10.889,30;15,78;0,17;-0,95;163.697.160,00
MNPR3;21,57;;47,30;-0,47;0,46;23,25;9,47;0,96;4,82;4,80;-0,01;;0,46;-0,40;-1,04;0,33;-0,99;0,97;-9,10;-0,98;1,98;1,01;13,02;;46.599,45;-46,07;0,46;-0,26;153.149.157,00
MOAR3;411,00;3,86;25,56;3,29;1,72;;;;35,51;29,09;-6,42;-0,59;;3,81;-3,88;5,28;12,87;6,73;6,43;0,52;0,48;0,00;;6,89;4.055,00;124,93;16,08;-0,33;5.035.251.831,00
MODL11;8,46;;-27,27;1,66;0,27;50,83;-5,11;-5,48;-29,26;-29,26;;;1,50;;-0,30;;-6,10;-0,97;;0,16;0,84;0,18;;;;5,09;-0,31;0,17;1.985.844.000,00
MODL3;3,08;;-29,78;1,82;0,29;50,83;-5,11;-5,48;-31,96;-29,26;;;1,63;;-0,32;;-6,10;-0,97;;0,16;0,84;0,18;;;;1,70;-0,10;0,19;1.985.844.000,00
MODL4;2,72;;-26,30;1,60;0,26;50,83;-5,11;-5,48;-28,22;-29,26;;;1,44;;-0,29;;-6,10;-0,97;;0,16;0,84;0,18;;;;1,70;-0,10;0,17;1.985.844.000,00
MOSI3;8,24;;2,24;0,14;0,02;0,00;0,00;3,42;;;;0,00;0,08;;-0,02;;6,27;0,71;;0,11;0,89;0,21;;;;58,58;3,67;0,17;1.043.149.227,20
MOVI3;6,15;;-5,32;0,84;0,08;25,20;13,79;-3,29;1,27;9,75;8,49;5,60;0,18;-15,38;-0,10;0,98;-15,76;-1,47;7,76;0,09;0,91;0,45;32,43;;29.849.153,65;7,34;-1,16;-0,01;2.228.157.828,90
MRFG3;16,47;;65,38;2,78;0,11;12,76;3,62;0,16;2,93;10,49;7,57;7,19;0,11;1,48;-0,19;1,23;4,25;0,17;4,77;0,04;0,83;1,05;34,79;-30,34;94.131.646,00;5,94;0,25;-0,59;14.930.880.000,00
MRSA3B;28,00;;6,64;1,34;0,54;45,80;37,86;19,77;3,47;4,76;1,24;0,48;1,31;8,18;-0,69;1,45;20,18;8,13;15,87;0,40;0,60;0,41;11,59;22,25;4.217,50;20,88;4,21;0,28;9.614.123.350,00
MRSA5B;29,00;;6,88;1,39;0,56;45,80;37,86;19,77;3,59;4,76;1,24;0,48;1,36;8,48;-0,71;1,45;20,18;8,13;15,87;0,40;0,60;0,41;11,59;22,25;1.790,35;20,88;4,21;0,29;9.614.123.350,00
MRSA6B;29,99;;7,12;1,44;0,58;45,80;37,86;19,77;3,72;4,76;1,24;0,48;1,41;8,76;-0,73;1,45;20,18;8,13;15,87;0,40;0,60;0,41;11,59;22,25;729,85;20,88;4,21;0,30;9.614.123.350,00
MRVE3;6,24;;-9,82;0,54;0,13;25,79;4,37;-4,18;9,38;30,98;21,58;1,23;0,41;0,76;-0,23;1,61;-5,45;-1,31;1,85;0,24;0,73;0,31;6,52;;85.622.813,05;11,67;-0,64;-0,25;3.528.923.227,17
MSPA3;42,00;0,69;-19,34;0,32;0,19;38,70;4,01;-8,92;43,05;61,00;18,66;0,14;1,72;6,67;-0,21;1,55;-1,67;-0,98;0,25;0,59;0,41;0,11;5,07;;0,00;130,06;-2,17;0,14;264.598.885,20
MSPA4;36,30;0,88;-16,72;0,28;0,16;38,70;4,01;-8,92;37,21;61,00;18,66;0,14;1,49;5,77;-0,18;1,55;-1,67;-0,98;0,25;0,59;0,41;0,11;5,07;;0,00;130,06;-2,17;0,12;264.598.885,20
MSRO3;702,50;0,02;-5.261,13;272,50;65,70;31,13;15,29;-2,38;818,60;825,85;7,26;2,42;125,16;-555,60;-83,94;0,65;-5,18;-1,25;7,47;0,24;0,76;0,52;22,78;;;2,58;-0,13;39,04;18.271.898.550,00
MTIG3;0,00;;0,00;0,00;0,00;-16,12;-64,07;-113,09;0,00;-1,28;-1,17;;0,00;0,00;0,00;0,27;-725,28;-74,53;-104,33;-0,10;1,10;0,66;-17,44;;;-0,06;-0,46;0,00;3.700.608,00
MTIG4;23,00;;-49,52;-359,15;36,91;-16,12;-64,07;-113,09;-87,41;-1,28;-1,17;;56,00;-50,93;-50,15;0,27;-725,28;-74,53;-104,33;-0,10;1,10;0,66;-17,44;;;-0,06;-0,46;-0,09;3.700.608,00
MTRE3;3,81;5,63;9,15;0,41;0,20;22,39;7,09;3,98;5,14;9,64;4,45;0,36;0,36;0,37;-1,30;2,65;4,51;2,15;3,37;0,48;0,50;0,54;43,88;23,11;2.043.248,55;9,24;0,42;-0,19;407.233.057,00
MTSA3;77,95;1,41;15,14;1,49;1,17;21,73;8,92;9,39;15,93;7,60;-3,49;-0,33;1,42;2,00;-5,39;3,93;9,87;7,72;3,58;0,78;0,22;0,82;16,17;22,60;0,00;52,17;5,15;-0,31;477.125.713,50
MTSA4;32,99;3,67;6,41;0,63;0,49;21,73;8,92;9,39;6,74;7,60;-3,49;-0,33;0,60;0,85;-2,28;3,93;9,87;7,72;3,58;0,78;0,22;0,82;16,17;22,60;90.260,75;52,17;5,15;-0,13;477.125.713,50
MULT3;25,31;2,28;11,63;1,79;1,06;84,98;65,99;51,90;9,15;10,72;1,52;0,30;6,04;16,06;-1,30;1,56;15,41;9,13;11,86;0,59;0,41;0,18;10,55;19,05;82.401.182,60;14,14;2,18;0,64;13.238.674.375,50
MWET3;9,53;;-1,28;-14,08;0,06;12,25;3,11;-5,66;2,33;15,70;13,10;;0,07;-0,77;-0,09;0,84;-1.098,99;-4,40;3,14;0,00;1,00;0,78;10,46;;47,65;-0,68;-7,44;-0,01;21.972.612,03
MWET4;11,25;;-1,51;-16,62;0,07;12,25;3,11;-5,66;2,75;15,70;13,10;;0,09;-0,91;-0,11;0,84;-1.098,99;-4,40;3,14;0,00;1,00;0,78;10,46;;13.722,80;-0,68;-7,44;-0,01;21.972.612,03
MYPK3;11,67;5,18;9,51;0,43;0,12;11,53;6,35;1,27;1,90;5,99;4,09;0,94;0,12;0,67;-0,23;1,56;4,56;1,23;6,99;0,27;0,70;0,97;9,23;-1,27;15.252.120,95;26,94;1,23;-0,03;1.798.519.331,70
NAFG3;64,37;;11,80;2,76;1,15;41,15;16,49;9,34;6,68;5,06;1,17;0,48;1,10;3,20;-2,87;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;35,19;;23,30;5,46;-1,14;508.315.292,42
NAFG4;19,02;;3,49;0,82;0,34;41,15;16,49;9,34;1,97;5,06;1,17;0,48;0,33;0,94;-0,85;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;35,19;;23,30;5,46;-0,34;508.315.292,42
NEMO3;0,00;;0,00;0,00;0,00;41,70;33,09;2,76;0,00;4,89;4,89;5,71;0,00;0,00;0,00;2,17;9,73;0,78;10,57;0,08;0,73;0,28;24,23;64,28;;17,86;1,74;0,00;0,00
NEMO5;52,97;2,33;30,47;2,97;0,24;41,70;33,09;2,76;2,54;4,89;4,89;5,71;0,84;1,90;-0,31;2,17;9,73;0,78;10,57;0,08;0,73;0,28;24,23;64,28;;17,86;1,74;-0,41;0,00
NEMO6;0,00;;0,00;0,00;0,00;41,70;33,09;2,76;0,00;4,89;4,89;5,71;0,00;0,00;0,00;2,17;9,73;0,78;10,57;0,08;0,73;0,28;24,23;64,28;;17,86;1,74;0,00;0,00
NEOE3;19,52;4,26;6,30;0,73;0,22;26,71;20,39;8,01;2,47;6,96;4,49;1,32;0,50;8,28;-0,28;1,14;11,51;3,53;10,30;0,31;0,69;0,44;11,31;19,58;25.308.152,60;26,89;3,09;-0,42;23.669.046.336,00
NEXP3;3,75;;-0,22;-0,06;0,09;4,63;-68,55;-58,89;-0,19;-1,27;-1,09;;0,13;-0,12;-0,15;0,34;-27,12;-42,25;53,96;-1,56;2,55;0,72;0,72;;6.090,45;-63,66;-17,27;0,00;9.958.383,75
NGRD3;28,65;0,00;-21,42;0,58;0,40;61,03;-3,26;-4,42;-29,09;-12,67;16,83;-0,33;0,95;1,77;-0,65;2,39;-2,69;-1,86;-4,57;0,69;0,31;0,42;8,67;;1.166.081,85;48,88;-1,31;0,09;260.973.951,20
NINJ3;4,49;;16,63;0,79;0,74;85,55;-40,29;22,03;-9,10;2,21;11,29;-0,98;3,66;0,81;-28,03;17,36;4,74;4,46;-9,00;0,94;0,06;0,20;35,82;;403.331,15;5,70;0,27;-0,04;227.833.607,68
NORD3;7,50;;-5,76;-0,30;2,57;91,57;-15,06;-344,09;-131,73;-232,34;-100,61;;19,83;-0,30;-2,82;0,01;-5,23;-44,52;0,30;-8,51;9,51;0,13;22,14;;5.609,80;-24,87;-1,30;-0,32;49.661.145,00
NRTQ3;0,00;;0,00;0,00;0,00;23,71;5,83;4,40;0,00;6,34;6,34;0,34;0,00;0,00;0,00;4,43;4,01;2,42;3,53;0,60;0,40;0,55;3,58;-16,05;;20,07;0,81;0,00;0,00
NTCO3;13,98;5,07;-1,74;0,87;0,48;64,13;2,83;-45,69;28,09;31,51;3,23;0,10;0,79;4,35;-0,72;1,47;-50,16;-27,36;-4,06;0,55;0,45;0,60;14,82;;128.167.144,00;16,03;-8,04;0,01;19.512.952.288,62
NUTR3;3,29;;5,71;1,08;0,37;18,25;8,34;4,04;2,77;3,29;0,55;0,21;0,23;1,20;-1,36;1,72;18,82;6,45;24,74;0,34;0,66;1,60;28,54;;19.191,50;3,06;0,58;0,06;43.176.744,00
ODER3;0,00;;0,00;0,00;0,00;29,11;9,72;7,64;0,00;;1,21;0,20;0,00;0,00;0,00;2,93;13,06;6,93;10,31;0,53;0,47;0,91;16,31;34,16;;46,94;6,13;0,00;
ODER4;97,78;1,09;15,95;2,08;1,11;29,11;9,72;7,64;12,54;;1,21;0,20;1,22;2,26;-4,29;2,93;13,06;6,93;10,31;0,53;0,47;0,91;16,31;34,16;0,00;46,94;6,13;-0,38;
ODPV3;10,39;13,89;10,65;4,49;2,49;32,07;31,11;24,22;8,29;7,44;-0,88;-0,48;2,58;-30,52;-3,60;0,79;42,17;23,35;36,77;0,55;0,45;0,96;5,88;13,62;11.786.904,90;2,31;0,98;1,10;5.762.529.765,09
OFSA3;22,10;1,52;13,09;1,64;0,91;48,50;15,46;9,50;8,04;8,71;0,67;0,14;1,24;1,99;-2,54;3,51;12,49;6,96;9,45;0,56;0,44;0,73;9,87;5,75;74.942,20;13,51;1,69;-0,03;1.192.273.032,60
OGXP3;1,63;;-2,15;-0,98;0,92;;;;-9,26;-9,26;0,00;;;-0,98;;0,51;-45,53;-43,02;10,57;-0,94;1,94;0,00;;;;-1,67;-0,76;0,02;52.747.073,84
OIBR3;1,68;;0,05;-0,04;0,03;-5,57;-26,29;137,63;-0,24;-4,15;-3,91;;0,06;-0,27;-0,04;0,76;-81,27;58,38;77,37;-0,72;1,72;0,42;-15,12;-13,33;5.891.225,40;-44,84;36,44;0,00;572.148.503,38
OIBR4;11,00;;0,30;-0,25;0,18;-5,57;-26,29;137,63;-1,58;-4,15;-3,91;;0,42;-1,75;-0,26;0,76;-81,27;58,38;77,37;-0,72;1,72;0,42;-15,12;-13,33;190.390,50;-44,84;36,44;0,00;572.148.503,38
OMGE3;27,57;;27,16;1.161,83;411,72;29,87;28,21;7,38;7,11;7,11;0,01;1,13;2,00;5.132,84;-519,52;1,63;4.277,81;1.515,93;6.291,78;0,35;0,65;205,37;29,99;37,16;;0,02;1,02;0,73;5.521.562.588,85
ONCO3;3,62;;32,41;0,62;0,19;33,54;12,31;1,19;3,13;7,89;4,83;0,96;0,38;0,96;-0,32;1,96;1,91;0,59;7,05;0,31;0,66;0,50;;;11.415.201,00;5,82;0,11;-0,48;2.294.182.221,76
OPCT3;6,08;;44,83;1,37;0,45;26,07;15,43;1,58;4,58;8,41;3,84;1,15;0,71;5,91;-0,65;1,33;3,06;1,00;9,28;0,33;0,67;0,64;40,48;;3.115.334,65;4,44;0,14;-0,71;1.215.754.088,32
ORVR3;45,15;;23,41;4,77;1,13;43,87;36,19;18,34;11,87;15,76;3,88;1,56;4,29;6,71;-1,69;2,00;20,40;4,81;10,69;0,24;0,74;0,26;21,27;131,73;23.928.571,80;9,45;1,93;-0,10;3.745.232.638,35
OSXB3;4,35;;-0,01;0,00;0,01;97,05;-517,78;-1.982,35;-0,04;-19,54;-19,50;;0,22;-0,01;-0,01;0,01;-17,14;-52,84;47,45;-3,08;4,09;0,03;37,94;;24.669,00;-2.315,11;-396,81;0,00;13.693.965,30
PARD3;20,25;;36,76;5,30;2,10;26,45;13,31;6,98;19,27;19,93;0,66;0,18;2,57;-54,06;-3,28;0,90;14,42;5,70;14,80;0,40;0,60;0,82;13,44;2,56;;3,82;0,55;-1,04;5.403.493.010,25
PATI3;27,00;18,74;8,24;0,74;0,40;11,99;5,86;3,91;5,50;5,56;0,01;0,00;0,32;0,91;-1,55;2,41;9,02;4,82;6,79;0,53;0,47;1,23;12,01;4,07;9.831,10;36,33;3,28;0,01;652.335.931,86
PATI4;33,01;21,57;10,07;0,91;0,49;11,99;5,86;3,91;6,72;5,56;0,01;0,00;0,39;1,11;-1,90;2,41;9,02;4,82;6,79;0,53;0,47;1,23;12,01;4,07;2.501,55;36,33;3,28;0,01;652.335.931,86
PCAR3;2,79;;-0,85;0,34;0,07;19,94;0,08;-8,53;91,18;226,62;134,13;0,50;0,07;-3,26;-0,10;0,93;-39,89;-8,16;0,01;0,20;0,79;0,96;-17,17;;33.099.085,30;8,21;-3,28;0,02;1.387.260.235,29
PCAR4;72,11;;-22,01;8,78;1,80;19,94;0,08;-8,53;2.356,55;226,62;134,13;0,50;1,88;-84,36;-2,56;0,93;-39,89;-8,16;0,01;0,20;0,79;0,96;-17,17;;;8,21;-3,28;0,46;1.387.260.235,29
PDGR3;0,01;;0,01;-0,01;0,03;-9,46;-511,59;1.116,06;-0,03;-0,38;-0,35;;0,15;-0,03;-0,08;0,32;-39,48;236,77;20,76;-6,00;7,14;0,21;-15,54;;846.490,85;-1,86;0,73;0,00;17.435.055,77
PDTC3;1,54;3,00;-5,30;0,94;0,17;30,66;-2,32;-7,91;-18,07;-44,75;-26,56;1,38;0,42;0,38;-0,67;2,60;-17,67;-3,24;-1,49;0,18;0,82;0,41;;;115.628,65;1,64;-0,29;0,03;123.177.920,30
PEAB3;41,01;1,74;22,61;0,88;0,62;74,12;34,45;47,66;31,28;28,44;-4,16;-0,12;10,78;3,33;-0,79;7,63;3,89;2,74;1,86;0,71;0,29;0,06;-33,28;-0,58;9.703,55;46,69;1,81;0,43;808.266.603,83
PEAB4;44,50;1,87;24,53;0,95;0,67;74,12;34,45;47,66;33,94;28,44;-4,16;-0,12;11,69;3,61;-0,86;7,63;3,89;2,74;1,86;0,71;0,29;0,06;-33,28;-0,58;6.805,55;46,69;1,81;0,47;808.266.603,83
PETR3;41,43;13,09;6,37;1,43;0,51;51,79;32,48;16,81;3,30;4,77;1,61;0,70;1,07;-28,90;-0,60;0,90;22,52;8,00;18,56;0,36;0,64;0,48;10,54;26,86;273.147.695,40;28,83;6,49;-0,17;517.044.262.029,46
PETR4;38,01;16,84;5,85;1,32;0,47;51,79;32,48;16,81;3,03;4,77;1,61;0,70;0,98;-26,53;-0,55;0,90;22,52;8,00;18,56;0,36;0,64;0,48;10,54;26,86;998.077.610,90;28,83;6,49;-0,15;517.044.262.029,46
PETZ3;4,36;6,69;373,49;1,18;0,50;46,69;3,11;0,17;19,82;19,53;-0,37;-0,02;0,62;3,53;-0,79;1,65;0,32;0,14;3,81;0,43;0,57;0,82;32,81;-29,48;42.685.636,20;3,67;0,01;-4,49;2.021.227.703,74
PFRM3;7,04;7,53;8,12;0,54;0,17;15,40;3,25;1,15;2,88;4,54;1,69;0,32;0,09;0,83;-0,58;1,41;6,63;2,10;12,21;0,32;0,68;1,83;15,19;;2.275.680,55;13,09;0,87;0,06;865.451.283,27
PGMN3;3,16;9,36;11,16;0,69;0,21;31,68;4,64;1,35;3,26;5,57;2,29;0,49;0,15;1,56;-0,42;1,38;6,19;1,91;8,92;0,31;0,69;1,41;12,40;12,12;2.032.071,85;4,58;0,28;-0,06;1.849.855.732,02
PINE3;4,68;12,94;9,78;893,60;41,83;2,75;14,36;10,40;7,08;6,83;;;1,02;;-43,59;;9.133,23;427,53;;0,05;0,95;41,12;21,90;;11.492,15;0,01;0,48;0,08;1.010.289.279,58
PINE4;4,42;13,70;9,24;843,95;39,51;2,75;14,36;10,40;6,69;6,83;;;0,96;;-41,17;;9.133,23;427,53;;0,05;0,95;41,12;21,90;;731.065,00;0,01;0,48;0,07;1.010.289.279,58
PLAS3;5,80;;-0,51;-0,14;0,11;15,73;1,24;-12,91;5,37;22,96;17,59;;0,07;-0,25;-0,16;0,45;-28,15;-20,77;-5,58;-0,74;1,74;1,61;22,25;;2.537,00;-40,04;-11,27;0,00;72.067.424,40
PLPL3;12,83;;7,69;3,45;1,26;33,02;16,84;13,27;6,06;6,02;0,00;0,00;1,02;2,20;-7,97;3,15;44,91;16,44;33,20;0,37;0,63;1,24;;;12.394.561,45;3,71;1,66;0,19;2.593.620.720,00
PMAM3;1,05;;-0,04;-0,01;0,04;-61,55;-110,70;-382,78;-0,15;-10,39;-10,25;;0,16;-0,01;-0,05;0,08;-28,12;-90,58;52,53;-3,22;4,22;0,24;-27,23;;416.994,05;-88,24;-24,81;0,00;64.747.611,76
PNVL3;9,74;4,48;14,17;1,25;0,47;31,64;3,79;2,15;8,03;12,69;4,63;0,72;0,30;2,11;-1,17;1,58;8,84;3,29;7,97;0,37;0,63;1,53;12,90;6,67;3.116.481,40;7,79;0,69;0,80;1.472.195.538,99
PNVL4;18,62;;27,04;2,39;0,89;31,64;3,79;2,15;15,33;12,69;4,63;0,72;0,58;4,03;-2,22;1,58;8,84;3,29;7,97;0,37;0,63;1,53;12,90;6,67;;7,79;0,69;1,53;1.472.195.538,99
POMO3;7,15;7,69;7,01;2,10;0,91;24,72;16,08;14,53;6,33;8,61;0,86;0,29;1,02;3,43;-2,28;1,78;29,91;12,91;16,94;0,43;0,56;0,89;9,75;44,07;3.182.148,10;3,41;1,02;0,29;9.930.651.247,04
POMO4;9,58;5,75;9,38;2,81;1,21;24,72;16,08;14,53;8,48;8,61;0,86;0,29;1,36;4,59;-3,05;1,78;29,91;12,91;16,94;0,43;0,56;0,89;9,75;44,07;82.260.961,55;3,41;1,02;0,39;9.930.651.247,04
PORT3;15,72;6,80;14,52;2,65;1,11;46,73;30,63;17,37;8,23;11,05;2,80;0,90;2,52;370,53;-1,33;1,02;18,27;7,67;11,63;0,42;0,58;0,44;7,67;24,86;44.337.990,50;5,92;1,08;0,72;6.936.582.367,00
POSI3;5,63;7,42;3,07;0,48;0,18;25,18;11,09;6,12;1,70;3,20;1,50;0,42;0,19;0,53;-0,59;1,95;15,62;5,87;16,03;0,38;0,62;0,96;15,01;;7.936.277,70;11,74;1,83;0,09;799.752.000,00
POWE3;10,90;;23,92;0,99;0,38;6,82;3,52;2,59;17,55;10,60;-6,96;-0,39;0,62;6,57;-0,74;1,13;4,13;1,58;3,81;0,38;0,62;0,61;;;;11,02;0,46;-1,77;977.237.930,40
PPAR3;14,60;25,90;1,32;0,04;0,03;;;;1,68;-3,52;-5,20;-0,13;;0,32;-0,03;77,22;3,07;2,22;1,90;0,72;0,28;0,00;;39,15;;359,85;11,03;-0,03;2.160.800,00
PPLA11;1,72;;0,81;537,91;9,24;;;;0,81;0,90;0,00;0,00;;;-537,91;1,00;66.622,22;1.144,27;66.622,22;0,02;0,98;0,00;;;582,40;0,00;2,13;0,00;5.376.012,06
PRIO3;40,20;0,18;7,32;1,97;0,83;53,91;54,70;34,74;4,65;5,63;1,00;0,42;2,54;2,60;-1,38;5,01;26,94;11,32;15,13;0,42;0,58;0,33;69,58;88,69;308.591.302,90;20,39;5,49;0,97;35.780.523.952,74
PRNR3;15,05;;384,35;2,13;0,59;21,17;6,48;0,19;11,25;15,47;4,17;0,79;0,73;3,16;-1,22;1,56;0,55;0,15;7,55;0,28;0,71;0,81;26,17;-24,47;5.752.651,50;7,07;0,04;-0,50;705.483.430,70
PSSA3;38,60;4,28;9,37;1,86;0,54;100,00;9,12;7,48;7,68;4,13;-3,54;-0,86;0,70;10,14;-1,29;1,10;19,84;5,75;14,22;0,29;0,71;0,77;12,70;15,23;79.853.804,50;20,75;4,12;0,38;24.893.563.310,00
PTBL3;4,03;;-36,93;1,44;0,17;37,39;7,30;-0,66;3,33;9,27;5,93;2,56;0,24;-2,49;-0,27;0,83;-3,89;-0,47;10,27;0,12;0,88;0,72;15,75;;1.823.273,25;2,80;-0,11;0,60;569.587.019,44
PTCA11;0,00;;0,00;0,00;0,00;48,39;14,35;8,74;0,00;1,28;1,28;0,70;0,00;0,00;0,00;1,74;33,47;10,72;17,71;0,32;0,68;1,23;23,19;37,98;;25,72;8,61;0,00;0,00
PTCA3;0,00;;0,00;0,00;0,00;48,39;14,35;8,74;0,00;1,28;1,28;0,70;0,00;0,00;0,00;1,74;33,47;10,72;17,71;0,32;0,68;1,23;23,19;37,98;;25,72;8,61;0,00;0,00
PTNT3;9,09;2,98;15,93;0,91;0,50;15,27;5,23;3,50;10,68;11,01;2,39;0,20;0,56;1,76;-1,00;2,29;5,69;3,12;5,28;0,55;0,45;0,89;6,38;2,43;7.011,30;10,02;0,57;-0,30;352.504.651,24
PTNT4;6,50;4,17;11,39;0,65;0,36;15,27;5,23;3,50;7,64;11,01;2,39;0,20;0,40;1,26;-0,71;2,29;5,69;3,12;5,28;0,55;0,45;0,89;6,38;2,43;76.652,85;10,02;0,57;-0,21;352.504.651,24
QUAL3;2,30;;-8,07;0,50;0,15;80,98;10,07;-5,04;4,04;10,60;6,51;0,80;0,41;3,39;-0,24;1,13;-6,17;-1,85;4,55;0,30;0,70;0,37;-1,96;;12.109.755,90;4,64;-0,29;0,37;664.593.520,50
QUSW3;0,00;;0,00;0,00;0,00;76,03;49,27;29,46;0,00;0,98;0,98;0,44;0,00;0,00;0,00;1,87;27,12;10,00;22,54;0,37;0,63;0,34;-10,73;51,30;;108,80;29,50;0,00;0,00
QVQP3B;0,00;;0,00;0,00;0,00;;;;0,00;0,81;0,81;-0,97;;0,00;;;-109,40;-109,40;-119,66;1,00;0,00;0,00;;;;0,00;0,00;0,00;0,00
RADL3;25,63;1,45;39,66;6,99;2,01;29,83;6,19;2,95;18,86;20,20;1,23;0,45;1,17;12,26;-4,86;1,39;17,62;5,06;21,30;0,29;0,71;1,72;18,08;17,18;154.158.791,70;3,67;0,65;13,84;44.307.405.688,00
RAIL3;20,14;0,46;-53,66;2,49;0,75;44,03;18,53;-5,32;15,40;20,47;5,08;0,82;2,85;6,56;-0,98;1,96;-4,65;-1,40;5,04;0,30;0,70;0,26;10,68;;306.615.131,35;8,08;-0,38;0,31;37.338.511.943,37
RAIZ4;2,47;6,26;33,31;1,16;0,20;6,32;3,41;0,32;3,10;6,97;3,91;1,46;0,11;5,11;-0,36;1,10;3,48;0,60;10,42;0,17;0,83;1,89;;;39.847.245,95;2,14;0,07;-0,43;25.363.648.235,80
RANI3;6,89;7,66;13,15;1,32;0,47;37,18;17,62;7,90;5,89;9,75;3,83;0,86;1,04;2,21;-0,71;2,87;10,02;3,60;8,23;0,36;0,64;0,46;11,31;110,83;6.362.400,75;5,22;0,52;-0,18;1.657.224.740,29
RANI4;5,50;;10,52;1,05;0,38;37,18;17,62;7,90;4,71;9,75;3,83;0,86;0,83;1,77;-0,56;2,87;10,02;3,60;8,23;0,36;0,64;0,46;11,31;110,83;;5,22;0,52;-0,14;1.657.224.740,29
